,Id,Vader Neg,Vader Neu,Vader Pos,Vader Compound,Roberta Neg,Roberta Neu,Roberta Pos,Clean Title,Clean Content,Rating,Sentiment,Target,Vader Label,Roberta Label
23,23,0.139,0.65,0.211,0.8402,0.009758402593433857,0.07110877335071564,0.9191328287124634,amazing quality great quality slightly loud,earbuds week amazed well performed usually wear working exercising sound quality cases great mention water resistant easy carry around battery life seems really good well plus charging case helps charge go rush get house morningmy criticism quite odd one admittedly volume control deliver stellar sound quality volume fairly adjustable lowest volume setting still pretty loud used earbuds headphones lowest audible volume faint usually level able hear conversation listening music still lowest volume seems way loud low volume also took figure touch controls earbuds since prefer tappin,4,Positive,2,Positive,Positive
24,24,0.0,0.446,0.554,0.8271,0.009347177110612392,0.22501717507839203,0.7656357288360596,simplicity,easy set easy use good quality bought another set gardening,4,Positive,2,Positive,Positive
25,25,0.155,0.703,0.143,-0.2862,0.47543373703956604,0.41146498918533325,0.1131013035774231,working promised,really sure got faulty ones seems headphones lose charge despite using themi fully charged double checked put bag time whenever left house however quite busy schedule really time wear earbuds left couple weeks got use around month two original purchase working fine initial beginning period time til moment even connecting phoneat first thought simply working confused since working fine first bought plugged charge started charging showing case well earphones zero charge quite annoying charged question fully secured case eve,2,Negative,0,Negative,Negative
26,26,0.247,0.637,0.115,-0.6338,0.4818350672721863,0.41952741146087646,0.09863745421171188,insane battery life,lost samsung buds looking cheap alternative replace bought year ago joke think charged forty-five times use everyday small downside get notification etc battery dying died given barely happened cannot really complain,5,Positive,2,Negative,Negative
27,27,0.127,0.674,0.2,0.7595,0.14141136407852173,0.37173277139663696,0.4868558347225189,work windows eleven,really like headphones got couple years ago bought pair partner work great phone iphone well samsung also laptop runs windows ten however work laptop runs windows eleven found plenty forums since people issues amount trouble shooting worked issue appears two years old neither tozo microsoft appear addressing problem connect touch controls appear work startstop spotify songs audio play headphones suggests issue audio driversin respects great product extremely frustrating warning incompatibility,3,Neutral,1,Positive,Neutral
28,28,0.051,0.649,0.299,0.9818,0.004251045174896717,0.05205095559358597,0.943697988986969,initial review good,received today initial review seem really good build quality seems good pop right case nicely case nice sleek small fits pocket sturdy build quality matte finish stops getting annoying fingerprints overthe buds come multiple sized tips much comfier branded ones tried fit snuggly feel though secured enough ear bought gym use keeping right position important shaking head movethey easy pair simple instructions package packaging good shipped outside charging case require charging initially foam mold securethe sound quality really good nice rich sound deeper bass previous earbuds mention brand one usually receives,4,Positive,2,Positive,Positive
29,29,0.186,0.721,0.093,-0.8514,0.6048547029495239,0.35573795437812805,0.039407387375831604,nine month review,bought august two thousand and twenty-one growing increasingly frustrated traditional earphones far lasted longer traditional pair owed downsides occasionally fail reach one hundred charge especially make ninety become confused wear one work often repeating primary pairing randomly use even though switched secure box cancel external sound rather well adjusting volume manually either piece difficult never adjust volume one bar time instead single attempt either drops volume low high deafening constantly using phone adjust instead answering calls fine microphone issues report also tendency migrate ears forcing readjustnot sure maybe weird ears sound quality major fact,4,Positive,2,Negative,Negative
30,30,0.021,0.685,0.294,0.9826,0.02100396156311035,0.12947997450828552,0.8495160341262817,excellent quality earphones although perhaps greatest running,ever since release bluetooth earphones avid fan devices combined phone strap revolutionised fitness often found old wire got way tedious year ago purchased first wireless bluetooth earphones lasted year unfortunately battery became unsustainable although cheap pair twenty got market spain anyway loved always wore university basically cheap version apples air pods searching new pair decided time would fork little cash decided purchase tozosso far good everything promised description came nicely packaged provided four sizes earphone rubber reassuring small ears like fit snuggly sound quality perfect synced whatever image watching screen pleasure ca,4,Positive,2,Positive,Positive
31,31,0.101,0.662,0.238,0.8779,0.026233810931444168,0.13991761207580566,0.8338485360145569,solid set earbuds lower price,years overall great pair inear headphones battery life excellent sound quality particularly bass impressivedespite dropped fair times charging case charges well considerationthe goes buds regular use years sound quality remarkable little noise distortion sound quality said experience volume quality loss one bud could due fact dropped times said experience volume quality loss,4,Positive,2,Positive,Positive
32,32,0.086,0.774,0.14,0.5423,0.011330426670610905,0.1128082349896431,0.8758612871170044,fantastic value money,buying cambridge audio buds right bud worked returned ordered replacement worked fo z couple days refused charge ordered oppo buds onlly one earbud worked sent back bought tozo t6 earbuds fantastic buds charged sound quality design good especially costwish bought first,4,Positive,2,Positive,Positive
33,33,0.0,0.67,0.33,0.9886,0.02720092609524727,0.23059749603271484,0.7422015070915222,great affordable pair earbuds,ordered little gems spending bit time reviewing affordable set earphones initially looked expensive pair jbls really wanted walking dog locallyso verdict well word fantasticthe goodcase nice weight case clearly designed portable rubber well fitting charging port cover nice touch four indication lights case keep eye charge magnetic case ensures lid closes nicely allows buds sit nicely within case premium feel itbuds firstly spoiled choice comes spare ear fittings ranging small extra large would imagine people find comfortable fit default worked perfectly fine happens sound perfectly fine need bass excessive clearly enough without sounding artificial little sound leakage,5,Positive,2,Positive,Positive
34,34,0.023,0.719,0.258,0.9802,0.02122659794986248,0.14820419251918793,0.8305692076683044,great sounding earphones versatility apple airpods,let us face anyone looking buy pair ear wireless headphones opting apple airpods almost us would start looking many options market something able job even better job fraction costwe yes isthe tozo t6 headphones great option anyone looking first delve wireless headphone territoryfirstly form factor great annoying stick side ear unlike apple airpods confined actual ear wear scarf means dislodge true ear seal made even better many ear cup options fit snugly without tight uncomfortable case also mirrors apple style magnets hold place handy charge light case nicely clicking opening hinge gives joy opening one minor grip,5,Positive,2,Positive,Positive
35,35,0.0,0.831,0.169,0.9319,0.0782594308257103,0.5454578995704651,0.3762826919555664,great money potential battery issues,audiophile probably want pair decent budget earbuds cannot go wrong tozo t6 plenty bass top end clear though sometimes tiny bit scratchy high volume loud fit securely come six sets rubbers fit different size ears simple pair use yet sure battery life set glossed playlists test varying genres music one side found far seems charging issue gave initial full charge unboxing left till next day got three white lights charging case illuminated dropping quickly two gave another full charge seemed sort case paired seventy charge trying put back case four lights lit still lit hour lat,4,Positive,2,Positive,Neutral
36,36,0.017,0.696,0.288,0.9839,0.04395793750882149,0.30450239777565,0.6515396237373352,seriously premium ear buds without premium price tag highly recommend,would looking buying ear buds ear pods sony overear headphones cost like three hundred best headphones however sleep cannot lay back obviously possible sleep side headphones main reason wanting ear buds however like technology days trying select pair let alone right pair seem daunting rather like mine field hence taken long actually take plunge buy pairfirstly apple ipods galaxy pods wanted good sound quality volume level good base good noise cancellation without hefty price bearing mind yes wanted decent ones main pair looked several online amazon selected thesewhy go looked good quality good reviews decided happy,5,Positive,2,Positive,Positive
37,37,0.11,0.846,0.044,-0.4767,0.8830936551094055,0.10691095143556595,0.00999550148844719,useless noise cancellation,ordered based reviews unfortunately useless voice calls voice notes plenty background noise unbearable callers especially trains buses quiet spaces okayheld ear reasonably well smallest ear buds slightly bulky seen ear buds alot worseoverall returning due noise cancellation issues going try another version brand,2,Negative,0,Negative,Negative
38,38,0.0,0.312,0.688,0.296,0.26143956184387207,0.5455635190010071,0.19299685955047607,ears,ok product,3,Neutral,1,Positive,Negative
39,39,0.082,0.576,0.342,0.8225,0.02382022887468338,0.20230822265148163,0.7738715410232544,right earbud quieter left,battery good well lasting sound quality great noise cancellation ok still moderately audible full volume problem right earbud bit quieter left monoaudio spotify apps,4,Positive,2,Positive,Positive
40,40,0.0,0.208,0.792,0.9349,0.004775612149387598,0.050215162336826324,0.9450092315673828,good value earpods,good size look good sound good great value money,4,Positive,2,Positive,Positive
41,41,0.066,0.671,0.263,0.9629,0.0584695003926754,0.2247999608516693,0.7167304754257202,good,really pleased purchase thinking buying wireless earbuds years wait worth work great tried size regularly come fine sometimes felt uncomfortable thing ear thing always quite sensitive ear stuff changed smaller size provide feel great less bulky much comfortable sound quality quite good walking around use one like feeling like know going around battery lasts ridiculously long amount time spend twenty-three days without charging course time use time whole daythe downside think happens wireless buds phone recording voice note noise surroundings perceived loud sometimes vo,4,Positive,2,Positive,Positive
42,42,0.027,0.727,0.247,0.9695,0.019487367942929268,0.1468859761953354,0.8336266279220581,good value wireless earbuds ideal backup pair,used wireless earbuds generally fan bo e8 20s however shopping around new earbuds use backup reasons leather case bos feels premium exactly practical gym connectivity bo perfect move especially phone close bodybeing broadly satisfied tozo products love screen protectors samsung note nine decided give wireless earbuds chance came promptly box real premium feel earbuds nicely packed inside standard plastic protection would expect premium product algotether presentation feels appley expecting really good thingtaking wrapper case similar size shape design airpod case obvious inspiration little disappointed surprised see mic,5,Positive,2,Positive,Positive
43,43,0.0,0.703,0.297,0.5859,0.010402838699519634,0.08540337532758713,0.9041937589645386,better apple airpods,amazing soundsolid buildlook greatbattery seems last foreverbetter airpods fraction price,5,Positive,2,Positive,Positive
44,44,0.157,0.636,0.206,0.8748,0.05856063589453697,0.23923422396183014,0.7022050619125366,excellent ear buds excellent customer service tozo,recently sent review one earbuds failed sound contacting tozo via email told would would send new set tozo followed new earbuds recently arrived see picture impressed one earbud working two totally amazing small enough fit stay tiny ears tried many different types earbuds earphones found either large uncomfortable kept falling sound quality brilliant noise reduction great family thought ignoring shows block sounds perfectly mainly use mine audiobooks meditation apps comfy enough go sleep added bonus waterproof used shower problem connection issues iphone eleven leave phone house go back garden ten meters loose signal,5,Positive,2,Positive,Positive
45,45,0.081,0.646,0.273,0.9715,0.030933890491724014,0.3430877923965454,0.6259783506393433,good overall reproduction awkward remove bud charger big fingers good value,decided try relatively cheap ones reading one magazine reviewgenerally good arrived charged able play straight boxsmall neat storagecharger box disadvantage find awkward remove earbud box magnet quite strong tapered design means cannot grip easily man sized fingersthe selection ear inserts generous loosen use slightly larger one start may bestas many type good press bud ear one finger triggers function buttonthe function button respond well quick tap needs relatively long hard press activate second presses go next function easy get used thoughsound little thin bright tinny huge amount bass fully acceptable mevolume goodconnects quickly phone,4,Positive,2,Positive,Positive
46,46,0.0,0.256,0.744,0.4404,0.02623673342168331,0.25766268372535706,0.7161006331443787,cheap works percfectly,good needed,4,Positive,2,Positive,Positive
47,47,0.0,0.787,0.213,0.9556,0.01093106996268034,0.23018242418766022,0.758886456489563,good value waterproof bluetooth earbuds nice features,used different lowend midrange bluetooth earbuds something compare impressionsconvenience charging case compact comfortably shaped slim enough keep jeans pocket full time without uncomfortable ipx8 waterproofness really handy want use shower bath tested waterproofness earbuds using showercharging ability charge charging case wirelessly using qi charging pad good reduce number usb cables need carry especially found could even charge case wirelessly samsung phone though work phone samsungs wireless powershare supportcomfort use found best fitting silicone tips size smaller ones tried first comfortable earbuds tried stick much,5,Positive,2,Positive,Positive
48,48,0.0,0.61,0.39,0.4927,0.018844200298190117,0.16784420609474182,0.8133115768432617,speak,quite good apple far far cheaper,4,Positive,2,Positive,Positive
49,49,0.0,0.508,0.492,0.4404,0.009787357412278652,0.19349616765975952,0.7967165112495422,fast charging time,sound quality volume good,3,Neutral,1,Positive,Positive
50,50,0.07,0.716,0.214,0.9287,0.06663893163204193,0.42046090960502625,0.512900173664093,easy use comfortable good value,saw ordered black ones arrived time next day packaging small well thought found ear plugs laid opening station case spare earplugs separate container underneath lead charging came charged ready go put ear plugs case automatically paired instructions easy follow paired iphone eleven quickly easy control volume pause changing tracks easy use small fingers plugs seem sit nicely ear large fingers cannot see issue using functionality plug sound quality money bad noise cancelling got cannot comment length charge comfort wearing buds long time periods impressed,4,Positive,2,Positive,Positive
51,51,0.0,1.0,0.0,0.0,0.05817403644323349,0.2754894495010376,0.6663365364074707,amazing,year nnot problemsbattery life lasts agesperfect alternative expensive earphones,4,Positive,2,Neutral,Positive
52,52,0.102,0.634,0.264,0.9643,0.04020877927541733,0.19569724798202515,0.7640939950942993,tozo t6 waterproof wireless earbuds superb,tozo t6 waterproof wireless earbud set easily best tried paired straight box iphone eight played beautifully itunes recordsonce found right rubber covers ears problem treadmill running found problem keeping watch catchup tv phone sound quality absorbed programme away strenuous regime thanks tozoprice great glad go anything less disappointed sweaty face hands affect operation performance buds stay put fingers slip handing calls reversing forwarding tracks love little voice telling done know pressed wrongmy niggle sometimes touching pause function slight delay music stops meant touched starting play course couple goes got th,4,Positive,2,Positive,Positive
53,53,0.0,0.581,0.419,0.854,0.005925261415541172,0.051749154925346375,0.9423255920410156,resilient great,still going strong year half constant use went wash still work amazing battery life cannot fault,5,Positive,2,Positive,Positive
54,54,0.083,0.669,0.248,0.9623,0.015655729919672012,0.22554925084114075,0.7587950229644775,great quality product price point,presentation ear buds something would leave tim cook sweaty breathing heavilythey come nicely packaged three additional sets rubber insert thingies microusb cable smart packagingthey feel robust high quality cheap plastic feel headphones owned charging case convenient size easy open closes satisfying click ear buds also slip magnetised housing nicely battery indicators outside case welcome wireless charging capability us lazy simple plug inpairing easy placed mine charging box removed popped phonei tried couple different sized rubber thingies find right fit shake head aggressively one without ear buds moving feel like going fall despite lack overear support foresee,5,Positive,2,Positive,Positive
55,55,0.045,0.553,0.401,0.9915,0.003442824585363269,0.017405806109309196,0.9791513681411743,fantastic value money,money headphones best purchase ever made sound quality going best audio quality price amazingly good touch controls little tricky get used still nice feature passive noise cancellation also surprisingly goodthe headphones easy use easy pair whilst audiophiles may appreciate audio quality think people perfectly happy especially price point value money amazingthey charge wirelessly different tip sizes choose earbuds never fallen earsmost important customer service contacted support team issue incredibly helpful replied quickly accommodating customer service teams seem ignore daysgiven budget price headphones would done recommend,5,Positive,2,Positive,Positive
56,56,0.19,0.595,0.214,0.0516,0.09627088159322739,0.6064624786376953,0.2972666919231415,ok,right bud keeps falling ear fine far,4,Positive,2,Positive,Negative
57,57,0.0,0.54,0.46,0.9761,0.0028618506621569395,0.026487525552511215,0.9706506133079529,amazing value,got pink ones lush packaging come smart would make great present someone love fact waterproof come nice selection ear buds make sure fit quite bassheavy mind overall pleased box nice design holds ear buds well lights indicate charge level xx,4,Positive,2,Positive,Positive
58,58,0.072,0.63,0.298,0.979,0.08107063174247742,0.26597875356674194,0.6529505848884583,correct fitting makes difference,purchased tozo t6 earbuds jan two thousand and twenty-two love comfy sound great tendency earbuds push hope best started found uncomfortable fell easily actually reading instructions playing minutes getting oriented properly makes massive differencethe trick orient rubber earpiece microphone hole front head slide bud horizontally gentle push fits beautifully well head least look mirror looks like got small ebony pyramid growing ear got wronga second tip open music app youtube got handling register button presses ready go youtube annoying moves next unrelated video carefulin may right earpiece stopped working past,5,Positive,2,Positive,Positive
59,59,0.018,0.879,0.103,0.8126,0.041935235261917114,0.5808219313621521,0.3772428333759308,love maybe much,"used long enough talk battery life update soon delivery exceptional ordered shortly midnight pods hands one thousand, three hundred and thirty approximately 14hrs delivery time unbelievablethey come already charged degree decided fully charge testing hour later case four lights lit systems go instructions easy read understand truth everything automatic instructions almost redundant far getting started concerned pull pods casethey came pulled phone checked available devices t6 already clicked t6 accepted device immediately started functioning speakerssound quality good paid past got less particularly fussy sound quality available volume check quite high sound enou",5,Positive,2,Positive,Neutral
60,60,0.0,0.797,0.203,0.9648,0.01639435440301895,0.16221345961093903,0.8213921785354614,great earbuds fraction price apple airpods pro,usually write reviews spent ages reading reviews earbuds thought would return favourthe main things looking purchasing earbuds comfortablity fit selection buds sturdiness would fall soon start exercising battery lifeadmittedly done full hardcore runexercise yet update review docomfortablity fit big hestitate ordering ear buds one reasons purchased apple airpods must say get selection six different pairs buds likely get even better fit apple something advertise would purchased sooner ironically enough 6th choice buds came already headphones fit perfectly try others yet great backupsoptionsconnectivity connecting phone took three seconds really simple took,5,Positive,2,Positive,Positive
61,61,0.041,0.657,0.301,0.9773,0.10089663416147232,0.4778308868408203,0.42127251625061035,great budget earbuds,debating time whether invest true wireless earbuds want spend apple prices first pairafter looking around many different options available opted tozo t6 decision based reviews price twenty-five figured would major financial loss like get themthe earbuds arrived earlier expected first impressions smart outer packaging charging case smart compact earbuds quick easy connect iphone fitted securely ears feel like fall outfor price sound quality exceptionally good clear vocals decent base midtones easily compare wired branded earphones loss connection feel comfortable running little background noise would say completely noise cancellin,5,Positive,2,Positive,Neutral
62,62,0.275,0.627,0.098,-0.8591,0.510650634765625,0.4301406145095825,0.059208787977695465,charging issues,earpieces comfortable issues sound quality would love issue charging cable inserts charger box poor bought first pair six months ago two months unit stopped charging cable stopped working complained promptly received complete set new headphones charging box cabletoday thing happened initially charger light comes cuts wriggle cable lights soon release pressure cable cuts think time cut losses different brand,3,Neutral,1,Negative,Negative
63,63,0.071,0.771,0.158,0.7579,0.16343513131141663,0.3144710659980774,0.5220937728881836,amazing good phone calls meetings,love headphones however read review insightlove bass however mean volume top level would say good quality headphones however increasing volume get bassvery easy wear comfortableif want train perfecthowever looking headphones use call meeting walk park talk phone one headphones literally record noise around voice whenever phone person would hear everything horrible even recorded phone call noise loud possible talk phone bit windy since speaker person lateral hurt ears sure case come cannot control noise back would say price highfor use listening podcasts music,4,Positive,2,Positive,Positive
64,64,0.025,0.72,0.255,0.9705,0.12982092797756195,0.4060460925102234,0.46413299441337585,convenience vs great implementation,really sure rate offer convenience wireless issues people need know aboutsound qualityupdate see belowthe sound quality passable many people disagree understand sound separation great bass forward enough mids great either everyone sounds like opposite lisp letter letter annoyingly prominentthe wired betron bs10 better bass mids general sound separationthe ergonomicsthey easy handle inevitably press touch sensitive surface activate something adjusting taking storethey however comfortable earphones ever even realise use reduce noise environment want quietin black however look like two chunky scarabs ear big aestheticallyfunctionalitythe touch,3,Neutral,1,Positive,Neutral
65,65,0.0,0.351,0.649,0.9022,0.0016938986955210567,0.01042853482067585,0.987877607345581,great earphones,great earphones sound good comfy wear pink colour great,5,Positive,2,Positive,Positive
66,66,0.072,0.719,0.209,0.5859,0.015047058463096619,0.17460204660892487,0.8103508949279785,good ear buds,good sound quality overall t6 budsnot tested mic calls unsure quality background noise windthe buds easy paircharged quickly micro usb charger usb c charger,5,Positive,2,Positive,Positive
67,67,0.041,0.647,0.312,0.8876,0.007255823351442814,0.04883624240756035,0.9439079165458679,great quality price,gave headphones four stars long yetsince purchase used every day impressed quality battery life far frankly much superior previous apple wireless headphonesvolume control bit tricky really need itwould definitely recommend,4,Positive,2,Positive,Positive
68,68,0.0,0.628,0.372,0.7964,0.011888962239027023,0.15132799744606018,0.8367830514907837,midbudget runners,reasonably good sounds keep still find best ear seal still work way dry ear,4,Positive,2,Positive,Positive
69,69,0.0,0.746,0.254,0.7003,0.08548273146152496,0.30803364515304565,0.6064836382865906,works pretty good,expecting much right cannot compare anything else first one sound quality good features bit expensive first purchased think good,5,Positive,2,Positive,Positive
70,70,0.021,0.667,0.311,0.9833,0.009946267120540142,0.10995084047317505,0.8801028728485107,brilliant especially bass lovers,excellent value money first thing notice premium packaging intitial impression quality product headphones well secured cutout foam charging caseit essential spend time trying different eartips achieving comfortable snug seal helps buds stay place achieves sound clarity especially lower frequencies reason tozo changed eartips much softeryou use one time stereo audio mixed monophone calls played budsmy initial thoughts little bass heavy use liking especially price point sound clear stereo separation fantastictozo implemented controls really well one tap play two taps skip hold change volumethe charging case nice compact get nineteen hours playback including charg,5,Positive,2,Positive,Positive
71,71,0.035,0.668,0.297,0.9849,0.007449648343026638,0.09662993997335434,0.89592045545578,great product even better price,wanted bit time test properly reviewing six months later goes wanted good quality set wireless waterproof earphones running want pay rip cost apple bose etc read reviews chose definitely live expectation fast delivery good quality packaging purchased black headphones look feel great quality cost worked straight box 18month warranty sticker included sound quality great like quite heavy music rock metal etc well rap rb drum bass tested wide variety music genres also films impressed quality comparison bigger brands used bass right sounds seem crisp clear volume sufficient unless really want wreck eardrums love wireless charging feature fast headphones held good 4hrs continuous char,5,Positive,2,Positive,Positive
72,72,0.116,0.65,0.235,0.6378,0.04397645965218544,0.24961532652378082,0.7064082622528076,neat,bought replace ipods way used properly yet ita neat package though earbuds bit less comfortable apple items sure get used niggle instructions bit vague controls work trial error,4,Positive,2,Positive,Positive
73,73,0.13,0.672,0.198,0.886,0.35294055938720703,0.44832244515419006,0.1987370103597641,get right piece ear bass hits hard good sound,using samsung galaxy watch music player stored music instead phone bluetooth earphones know easy put watch music player changed audio bluetooth pulled earphones case automatically pairedlistening fifty cent song baltimore love thing bass damn good muddy terrible hits lows hard rightthey kind look like baby pacifiers ears though know ever since saw casey neistat video youtube bt earphone things like cannot unsee noise cancellation good going try using runs instead cable ipod started running already damaged knee work heals give go thatit touch controls kind annoying weird ears takes get right constantly pausing music somehow rewind start also tha,5,Positive,2,Positive,Negative
74,74,0.094,0.584,0.322,0.9824,0.009936432354152203,0.09218382090330124,0.8978797793388367,everything need good design great price good quality sound perfect fit exercise,searching ages bluetooth earphones waterproofsweatproof good sound quality similar airpods design without apple price well look tick boxesthey look great much expensive charging case perfect works well keep charged led lights front indicate much charge left terms headphone design worried would fall time especially wanted use running different size ear pieces found perfect fit far budged takes little bit getting used used similar inear headphones fit well comfortable wear prolonged amount time make sure place twist secure fit sound really good quality good bass good cancelling background noise touch,5,Positive,2,Positive,Positive
75,75,0.212,0.788,0.0,-0.6361,0.9435524940490723,0.05212002620100975,0.004327427130192518,kept falling ear,kept falling ears walking touching earpiece kept pausing music altering sound really annoying keep touching earpiece keep falling ear sound lacked bass made music really tinny,2,Negative,0,Negative,Negative
76,76,0.085,0.493,0.423,0.8625,0.0544387549161911,0.11688942462205887,0.8286718130111694,stunning money,truly excellent earbuds got cheap replacement honestly blown away sound quality especially much cost would easily mistake pair airpodsfantastic,5,Positive,2,Positive,Positive
