,Title,Clean Title,Content,Clean Content,Rating,Sentiment,Target
15,Good in some cases....bad in some.,good casesbad,"I'll cut to the point, I've bought 3 of these before.The first pair, best thing since sliced bread, which were the black pair....then I got the other 2...one for me and as a gift for my partner (Rose gold and light blue)...the microphone quality and connection WILL dip and sometimes just straight up cut out, which is a real bummer, since the black pair worked fantastically.In short summary, for audio listening, pretty good, for calls and such, depending on your pair and the batch they come from...good luck.Overall, a 5 out of 10, due to the first being perfect and the other 2, being either passe or in the case of my blue pair, complete trash.",cut point bought three beforethe first pair best thing since sliced bread black pairthen got 2one gift partner rose gold light bluethe microphone quality connection dip sometimes straight cut real bummer since black pair worked fantasticallyin short summary audio listening pretty good calls depending pair batch come fromgood luckoverall five ten due first perfect two either passe case blue pair complete trash,3,Neutral,1
16,Great for the price,great price,"fairly small and sleek case, the headphone hold a charge for a good while too. the wireless charging is a nice touch if not slightly slow (as is with all wireless charging). unlike wireless charging on a phone however, youre far more likely to leave these on a desk all day at work etc. so the wireless capeabilities make a bit more sense. comes with a handful of different sized tips so finding a fit should be okay.im no audiophile but the sound quality sounds pretty clear. especially for the price point",fairly small sleek case headphone hold charge good wireless charging nice touch slightly slow wireless charging unlike wireless charging phone however far likely leave desk day work etc wireless capeabilities make bit sense comes handful different sized tips finding fit okayi audiophile sound quality sounds pretty clear especially price point,4,Positive,2
17,"The sound quality is quite amazing for the price, just hope they have more that 12months of use.",sound quality quite amazing price hope 12months use,"The sound quality is quite amazing for the price, just hope they last at least 12 months...",sound quality quite amazing price hope last least twelve months,4,Positive,2
18,Excellent wireless earbuds at a great price - and great customer service from TOZO,excellent wireless earbuds great price great customer service tozo,"My wired earphones which came with my Samsung phone are just about to give up the ghost so I looked around for some wireless ones because I was fed up with the cable getting snagged while I was doing weights, or by my jacket on my bike. These seemed to fit the bill. The reviews were mostly very positive and considering there are so many reviews, I thought I’d take the plunge. I’ve only used the headphones once - on a 90 minute mountain bike ride on a trail today, and they are great so far! They didn’t dislodge at all, though there are several options to fit each size of ear canal.The packaging is very good and the instructions are clear enough. They paired immediately I took them out of the case and selected TOZO from the list of Bluetooth devices on my phone. If you want to then use them on your tablet, you just need to disconnect from the phone first.The sound is very good and clear, but I’m not much of an audiophile so this is all subjective. I didn’t want to spend a huge amount on ",wired earphones came samsung phone give ghost looked around wireless ones fed cable getting snagged weights jacket bike seemed fit bill reviews mostly positive considering many reviews thought would take plunge used headphones ninety minute mountain bike ride trail today great far dislodge though several options fit size ear canalthe packaging good instructions clear enough paired immediately took case selected tozo list bluetooth devices phone want use tablet need disconnect phone firstthe sound good clear much audiophile subjective want spend huge amount,5,Positive,2
19,Great Headphones,great headphones,Great headphones and good price. Controls make sense and are easy to use. Unlike another pair I purchased previously. Good battery life & the charging case wireless charges on a charging pad. Sound great too for the money. No complaints at all.,great headphones good price controls make sense easy use unlike another pair purchased previously good battery life charging case wireless charges charging pad sound great money complaints,5,Positive,2
20,"Good price, but somewhat frustrating",good price somewhat frustrating,"Saying ""you get what you pay for"" in regards to these is both accurate, and a sign of the times. Five years ago, I paid about half as much for some wired earphones that were worse than the ones that had come with my phone. In comparison, given what you get, these are most definitely worth the price.However, there are some things to be aware of.Yes, again, for the price, they are rather quite good. They're (mostly) comfortable in the ear, the case is small, easily fitting into most pockets, and the sound quality is actually pretty decent. While I wouldn't want to rely on them for lengthy listening periods, they're good on the bus or the train, or on short-haul flights.Thanks to their water-resistant rating, they're also good if you want to listen to something in the shower, or in a steamy bath. I'm not entirely comfortable with the shower option, even after doing it several times, but if you want to, you certainly can. I am told by my family that they appreciate the lack of music blasti",saying get pay regards accurate sign times five years ago paid half much wired earphones worse ones come phone comparison given get definitely worth pricehowever things aware ofyes price rather quite good mostly comfortable ear case small easily fitting pockets sound quality actually pretty decent would want rely lengthy listening periods good bus train shorthaul flightsthanks waterresistant rating also good want listen something shower steamy bath entirely comfortable shower option even several times want certainly told family appreciate lack music blasti,3,Neutral,1
21,Great for te price,great te price,Great for the price. Sometimes can make it difficult for the caller to hear what you are saying.,great price sometimes make difficult caller hear saying,4,Positive,2
22,"Excellent Bluetooth Earbuds, great features at a bargain price",excellent bluetooth earbuds great features bargain price,"I was looking for a decent set of wireless earbuds and after spending quite a bit of time online looking at a variety of options and also following up on a work colleague's recommendation, I decided to order a set of TOZO T6's.Overall I'm very impressed with these earbuds, especially given their price of just 29.99 GBP at the time of purchase.The build quality of both the earbuds and charging case is very good, they don't feel flimsy or cheap, instead having a premium look / feel that belies their price.The charging case is compact and ergonomic (it fits nicely into the small 'watch pocket' on a pair of jeans), and allows the earbuds to be re-charged 'on the go' approximately 3 to 4 times before the charging case needs a top-up itself (there's 4 LED lights to indicate how much power it has left). It's also nice to see that the case supports Wireless charging for convenience, although it can also be charged using the supplied micro USB cable if you don't have a wireless charging pad to ","looking decent set wireless earbuds spending quite bit time online looking variety options also following work colleagues recommendation decided order set tozo t6soverall impressed earbuds especially given price two thousand, nine hundred and ninety-nine gbp time purchasethe build quality earbuds charging case good feel flimsy cheap instead premium look feel belies pricethe charging case compact ergonomic fits nicely small watch pocket pair jeans allows earbuds recharged go approximately three four times charging case needs topup four led lights indicate much power left also nice see case supports wireless charging convenience although also charged using supplied micro usb cable wireless charging pad",5,Positive,2
23,"Amazing quality, great quality, but slightly too loud",amazing quality great quality slightly loud,"I've had these earbuds for about a week now and I've been amazed by how well they've performed. I usually wear these while working or exercising and the sound quality in both cases has been great, not to mention that they're water resistant and easy to carry around. The battery life seems really good as well, plus the charging case helps me charge them on the go if I'm in a rush to get out of the house in the morning.My only criticism of them, and it is quite an odd one admittedly, is the volume control. While they deliver some stellar sound quality and the volume is fairly adjustable, the lowest volume setting on them was still pretty loud. I'm used to earbuds or headphones having the lowest audible volume being very faint, usually at the level of being able to hear a conversation while listening to your music still, but the lowest volume on these seems way too loud for a low volume. It also took me a while to figure out all of the touch controls for the earbuds, since I prefer tappin",earbuds week amazed well performed usually wear working exercising sound quality cases great mention water resistant easy carry around battery life seems really good well plus charging case helps charge go rush get house morningmy criticism quite odd one admittedly volume control deliver stellar sound quality volume fairly adjustable lowest volume setting still pretty loud used earbuds headphones lowest audible volume faint usually level able hear conversation listening music still lowest volume seems way loud low volume also took figure touch controls earbuds since prefer tappin,4,Positive,2
24,Simplicity,simplicity,Easy to set up and easy to use. Good quality now bought another set for when gardening.,easy set easy use good quality bought another set gardening,4,Positive,2
25,Not working as promised,working promised,"I’m not really sure if I got faulty ones or not, but it seems that these headphones lose charge despite me not using them.I had just fully charged them and double checked before I put them in my bag so they will be with me all the time whenever I left the house. However, I had had quite a busy schedule and didn’t really have time to just wear my earbuds so they were left for a couple of weeks. When I got them out to use them again (this was around a month or two after the original purchase, they were working fine for the initial beginning period of time til this moment) they weren’t even connecting to my phone.At first I thought this was because they were simply not working (which confused me since they were working fine when I first bought them) but I plugged them into charge and they started charging showing me that the case as well as the earphones were at 0% charge. This was quite annoying as I had just charged them, and before you question, they were fully secured in the case (eve",really sure got faulty ones seems headphones lose charge despite using themi fully charged double checked put bag time whenever left house however quite busy schedule really time wear earbuds left couple weeks got use around month two original purchase working fine initial beginning period time til moment even connecting phoneat first thought simply working confused since working fine first bought plugged charge started charging showing case well earphones zero charge quite annoying charged question fully secured case eve,2,Negative,0
26,Insane battery life,insane battery life,"I lost my Samsung buds, so was looking for a cheap alternative to replace them. I bought these over a year ago and no joke, I think I have charged them 4/5 times and I use them everyday. The only very small downside is that you don't get a notification etc when the battery is dying/ has died. Given that has barely happened I can't really complain",lost samsung buds looking cheap alternative replace bought year ago joke think charged forty-five times use everyday small downside get notification etc battery dying died given barely happened cannot really complain,5,Positive,2
27,Don’t work with windows 11,work windows eleven,"I really like these headphones - I got some a couple of years ago and bought a pair for my partner. They work great on my phone (iPhone) as well as hers (Samsung) and also my laptop (runs windows 10). However they don’t work on her laptop (runs windows 11). I have found plenty of forums since with people having the same issues - no amount of trouble shooting has worked, and this issue appears to be 2 years old. Neither tozo nor Microsoft appear to be addressing the problem. They can connect and the touch controls appear to work (start/stop spotify songs) but the audio does not play in the headphones. It suggests an issue with the audio drivers.In all other respects, these are a great product, it’s just extremely frustrating that there is no warning about this incompatibility.",really like headphones got couple years ago bought pair partner work great phone iphone well samsung also laptop runs windows ten however work laptop runs windows eleven found plenty forums since people issues amount trouble shooting worked issue appears two years old neither tozo microsoft appear addressing problem connect touch controls appear work startstop spotify songs audio play headphones suggests issue audio driversin respects great product extremely frustrating warning incompatibility,3,Neutral,1
28,Initial review is very good!,initial review good,"I've just received these today and on initial review they seem really good. Build quality seems very good, they pop right in to the case nicely. The case itself is nice and sleek, very small so fits into any pocket. It has a sturdy build quality and the matte finish stops you getting annoying fingerprints all over.The buds come with multiple sized tips, and they are much comfier than other branded ones i've tried. they fit snuggly and feel as though they are secured enough in the ear. I bought these for gym use, so keeping them in the right position is very important and shaking my head about, they don't move.They were easy to pair, there are simple instructions to do this in the package. The packaging is very good, they are shipped outside of the charging case so did require charging initially, but they're in a foam mold so very secure.The sound quality is really good, nice rich sound, deeper bass than my previous earbuds. I won't mention the brand but it was one that usually receives",received today initial review seem really good build quality seems good pop right case nicely case nice sleek small fits pocket sturdy build quality matte finish stops getting annoying fingerprints overthe buds come multiple sized tips much comfier branded ones tried fit snuggly feel though secured enough ear bought gym use keeping right position important shaking head movethey easy pair simple instructions package packaging good shipped outside charging case require charging initially foam mold securethe sound quality really good nice rich sound deeper bass previous earbuds mention brand one usually receives,4,Positive,2
29,9 month review,nine month review,"I bought these in August 2021 after growing increasingly frustrated with traditional earphones. So far they have lasted longer than any traditional pair I have owed, but with some downsides. They occasionally fail to reach 100% charge, especially now as they only make it to 90%. They become confused when I wear only one at work, often repeating ""primary"" or ""pairing"" randomly while in use even though the other is switched off and secure in the box. They do cancel external sound rather well, but adjusting the volume manually with either piece has been difficult; I can never adjust the volume one bar at a time, instead a single attempt either drops the volume very low or very high and deafening, so I'm constantly using the phone to adjust instead. Answering calls has been fine and no microphone issues to report. They also have a tendency to migrate out of my ears after a while forcing me to readjust...not sure what that is about, maybe I have weird ears. The sound quality is a major fact",bought august two thousand and twenty-one growing increasingly frustrated traditional earphones far lasted longer traditional pair owed downsides occasionally fail reach one hundred charge especially make ninety become confused wear one work often repeating primary pairing randomly use even though switched secure box cancel external sound rather well adjusting volume manually either piece difficult never adjust volume one bar time instead single attempt either drops volume low high deafening constantly using phone adjust instead answering calls fine microphone issues report also tendency migrate ears forcing readjustnot sure maybe weird ears sound quality major fact,4,Positive,2
30,Excellent quality earphones. Although perhaps not the greatest for running.,excellent quality earphones although perhaps greatest running,"Ever since the release of Bluetooth earphones I have been an avid fan. Such devices, combined with a phone strap, have revolutionised my fitness as I often found that the old wire that got in the way was tedious. A year ago I purchased my first wireless Bluetooth earphones which lasted me a year because unfortunately the battery became unsustainable. Although they were a cheap pair for £20 that I got from a market while in Spain. Anyway, I loved them and always wore them at university. They were basically a cheap version of Apple's air pods. While searching for a new pair I decided this time that I would fork out a little more cash and decided to purchase the Tozo's.So far so good, it's everything it promised in the description and came nicely packaged. You are provided with four sizes of earphone rubber, which is reassuring if you have small ears like me and they fit snuggly. The sound quality is perfect and is synced with whatever image you're watching on screen. To my pleasure, I ca",ever since release bluetooth earphones avid fan devices combined phone strap revolutionised fitness often found old wire got way tedious year ago purchased first wireless bluetooth earphones lasted year unfortunately battery became unsustainable although cheap pair twenty got market spain anyway loved always wore university basically cheap version apples air pods searching new pair decided time would fork little cash decided purchase tozosso far good everything promised description came nicely packaged provided four sizes earphone rubber reassuring small ears like fit snuggly sound quality perfect synced whatever image watching screen pleasure ca,4,Positive,2
31,Solid set of earbuds for a lower price,solid set earbuds lower price,"Had these for a few years now, overall a great pair of in-ear headphones. The battery life is excellent and the sound quality, particularly the bass, is impressive.Despite being dropped a fair few times, the charging case charges well with that consideration.The same goes for the buds. After regular use for a few years, the sound quality is remarkable. Little to no noise or distortion in the sound quality. That said, I experience some volume and quality loss in one bud. Again could be due to the fact they've been dropped a few times, said, I experience some volume and quality loss",years overall great pair inear headphones battery life excellent sound quality particularly bass impressivedespite dropped fair times charging case charges well considerationthe goes buds regular use years sound quality remarkable little noise distortion sound quality said experience volume quality loss one bud could due fact dropped times said experience volume quality loss,4,Positive,2
32,Fantastic value for money,fantastic value money,"After buying the cambridge audio buds that only the right bud worked, returned them and ordered a replacement of the same, these worked fo z couple of days, then just refused to charge at all, then ordered the oppo buds and again onlly one earbud worked so sent them back and bought the Tozo T6 earbuds and they are fantastic and both buds charged and the sound quality and design are very good especially for the cost.WISH I HAD BOUGHT THESE FIRST.",buying cambridge audio buds right bud worked returned ordered replacement worked fo z couple days refused charge ordered oppo buds onlly one earbud worked sent back bought tozo t6 earbuds fantastic buds charged sound quality design good especially costwish bought first,4,Positive,2
33,"Great, affordable pair of earbuds.",great affordable pair earbuds,"Ordered these little gems after spending a bit of time reviewing an affordable set of earphones. Initially, I looked at a more expensive pair of JBL's, but I only really wanted these for walking the dog locally.So the verdict then? Well, in a word, Fantastic.The Good:Case- Nice weight to the case, but clearly designed to be portable.- Rubber, well fitting charging port cover. Nice touch.- 4 indication lights on the case to keep an eye on charge.- Magnetic case. This ensures that the lid closes nicely, and allows the buds to sit nicely within the case, and has a premium feel to it.Buds- Firstly, spoiled for choice when it comes to spare ear fittings, ranging from very small to extra large. I'd imagine that most people will find a comfortable fit. The default worked perfectly fine for me as it happens.- They sound perfectly fine for what I need. The bass isn't excessive, but there's clearly enough of it, without it sounding artificial.- There's very little sound leakage when they're in t",ordered little gems spending bit time reviewing affordable set earphones initially looked expensive pair jbls really wanted walking dog locallyso verdict well word fantasticthe goodcase nice weight case clearly designed portable rubber well fitting charging port cover nice touch four indication lights case keep eye charge magnetic case ensures lid closes nicely allows buds sit nicely within case premium feel itbuds firstly spoiled choice comes spare ear fittings ranging small extra large would imagine people find comfortable fit default worked perfectly fine happens sound perfectly fine need bass excessive clearly enough without sounding artificial little sound leakage,5,Positive,2
34,Great sounding earphones with more versatility than the Apple AirPods,great sounding earphones versatility apple airpods,"Let’s face it, if anyone is looking to buy a pair of in ear wireless headphones then opting for the Apple AirPods is where almost all of us would start looking. But with so many other options now on the market is there something that is able to do the job (or even a better job) for a fraction of the cost....we’ll, yes there is!The Tozo T6 headphones are a great option for anyone looking for their first delve into wireless headphone territory.Firstly the form factor is great, they don’t have the annoying stick down the side of the ear unlike Apple AirPods, these are confined to your actual ear, if you wear a scarf it means you won’t dislodge these, and with a true in ear seal, which is made even better with so many ear cup options they fit very snugly without being tight or uncomfortable. the case also mirrors the Apple style with magnets to hold them into place with a handy charge light on the case, the nicely clicking opening hinge further gives joy when opening the up, one minor grip",let us face anyone looking buy pair ear wireless headphones opting apple airpods almost us would start looking many options market something able job even better job fraction costwe yes isthe tozo t6 headphones great option anyone looking first delve wireless headphone territoryfirstly form factor great annoying stick side ear unlike apple airpods confined actual ear wear scarf means dislodge true ear seal made even better many ear cup options fit snugly without tight uncomfortable case also mirrors apple style magnets hold place handy charge light case nicely clicking opening hinge gives joy opening one minor grip,5,Positive,2
35,great for the money but potential battery issues.,great money potential battery issues,"If you are an audiophile then these probably arent for you but if you want a pair of decent budget earbuds then you cant go wrong with the Tozo T6. They have plenty of bass and the top end is very clear though sometimes a tiny bit scratchy at high volume. They are very VERY loud. They fit very securely, they come with 6 sets of rubbers to fit different size ears. They are simple to pair and use. Im not yet sure about battery life as ive only set them up and glossed over my playlists to test them on varying genres of music. The one down side ive found so far is there seems to be a charging issue. I gave them an initial, full charge after unboxing then left them till the next day. When i got up 3 white lights on the charging case were illuminated, dropping quickly to 2. I gave them another full charge and that seemed to sort the case out but when i paired them they only had a 70% charge. After trying them out ive put them back in the case and 4 lights lit up and are still lit an hour lat",audiophile probably want pair decent budget earbuds cannot go wrong tozo t6 plenty bass top end clear though sometimes tiny bit scratchy high volume loud fit securely come six sets rubbers fit different size ears simple pair use yet sure battery life set glossed playlists test varying genres music one side found far seems charging issue gave initial full charge unboxing left till next day got three white lights charging case illuminated dropping quickly two gave another full charge seemed sort case paired seventy charge trying put back case four lights lit still lit hour lat,4,Positive,2
36,Seriously Premium Ear Buds WITHOUT The Premium Price Tag‼️ Highly Recommend‼️,seriously premium ear buds without premium price tag highly recommend,"I'd been looking at buying myself some ear buds /ear pods for a while now, as I own the Sony overear headphones which cost like over £300 & are THE best headphones, however, when I sleep I cant lay on my back, & obviously its not possible to sleep on the side with headphones on, so this was my main reason for wanting some ear buds, however, like most technology these days, trying to select a pair, let alone the 'right pair' for yourself can seem daunting, & rather like a mine field, hence why its taken me so long to actually take the plunge & buy a pair.Firstly, I wasnt after apple ipods, or the galaxy pods. I wanted good sound, quality & volume level, with a good base, & good noise cancellation, - without a hefty price, bearing in mind that yes, I wanted decent ones, but not as my main pair, & I looked at several online & here on Amazon, before I selected these.Why did I go for these? They looked of good quality, they had good reviews, & I decided that if I wasn't happy with them when",would looking buying ear buds ear pods sony overear headphones cost like three hundred best headphones however sleep cannot lay back obviously possible sleep side headphones main reason wanting ear buds however like technology days trying select pair let alone right pair seem daunting rather like mine field hence taken long actually take plunge buy pairfirstly apple ipods galaxy pods wanted good sound quality volume level good base good noise cancellation without hefty price bearing mind yes wanted decent ones main pair looked several online amazon selected thesewhy go looked good quality good reviews decided happy,5,Positive,2
37,Useless for noise cancellation,useless noise cancellation,Ordered these based on reviews but unfortunately they are useless for voice calls and voice notes which I do plenty of. Background noise was unbearable for callers (especially on trains and buses) but in quiet spaces it was okay.Held in my ear reasonably well with the smallest of ear buds- they are slightly too bulky for me but I’ve seen ear buds ALOT worse.Overall I’m returning due to the noise cancellation issues and I’m going to try another version of this brand.,ordered based reviews unfortunately useless voice calls voice notes plenty background noise unbearable callers especially trains buses quiet spaces okayheld ear reasonably well smallest ear buds slightly bulky seen ear buds alot worseoverall returning due noise cancellation issues going try another version brand,2,Negative,0
38,Ears,ears,Ok product,ok product,3,Neutral,1
39,Right earbud quieter than the left,right earbud quieter left,"The battery is good and well lasting and the sound quality is great, the noise cancellation is OK but still moderately audible at full volume, my only problem is the right earbud is a bit quieter than the left if you are on monoaudio on Spotify or other apps",battery good well lasting sound quality great noise cancellation ok still moderately audible full volume problem right earbud bit quieter left monoaudio spotify apps,4,Positive,2
40,Good value earpods,good value earpods,"Good size, look good & sound good. Great value for money",good size look good sound good great value money,4,Positive,2
41,Good!,good,"I am really pleased with this purchase. I had been thinking of buying wireless earbuds for years... the wait was worth it. They work great, I tried them with the size they regularly come in and they were fine but sometimes I felt uncomfortable having the thing in my ear- but it is my thing, I've always been quite sensitive with ear stuff. I just changed them to a smaller size (that they provide) and they feel great, less bulky much more comfortable. The sound quality is quite good. When I'm walking around I only use one because I don't like feeling like I don't know what's going around me so the battery lasts for a ridiculously long amount of time. I can spend 2-3 days without charging them (of course if I don't have them on all the time and I don't use both at the time the whole day).The downside -but I think this happens with ALL the wireless buds- is that while you are on the phone or recording a voice note the noise from the surroundings is perceived very loud and sometimes your vo",really pleased purchase thinking buying wireless earbuds years wait worth work great tried size regularly come fine sometimes felt uncomfortable thing ear thing always quite sensitive ear stuff changed smaller size provide feel great less bulky much comfortable sound quality quite good walking around use one like feeling like know going around battery lasts ridiculously long amount time spend twenty-three days without charging course time use time whole daythe downside think happens wireless buds phone recording voice note noise surroundings perceived loud sometimes vo,4,Positive,2
42,"Good value wireless earbuds, ideal for a backup pair",good value wireless earbuds ideal backup pair,"I've used wireless earbuds for a while, and I'm generally a fan of my B&O E8 2.0s. However, I have been shopping around for a while for new earbuds to use as a backup for a few reasons:- The leather case on the B&Os feels premium, but it's not exactly practical for the gym- Connectivity on the B&O is not perfect when on the move, especially when your phone is close to your bodyBeing broadly satisfied with TOZO products (love their screen protectors for my Samsung Note 9), I decided to give these wireless earbuds a chance. They came promptly. The box has a real premium feel, and the earbuds are nicely packed inside, with the standard plastic protection you would expect from a premium product. Algotether, the presentation feels more Apple-y than I was expecting (which is a really good thing!).Taking the wrapper off of the case, it's very similar in size, shape & design to the Airpod case (which was the obvious inspiration). I was a little disappointed -- but not surprised -- to see a Mic",used wireless earbuds generally fan bo e8 20s however shopping around new earbuds use backup reasons leather case bos feels premium exactly practical gym connectivity bo perfect move especially phone close bodybeing broadly satisfied tozo products love screen protectors samsung note nine decided give wireless earbuds chance came promptly box real premium feel earbuds nicely packed inside standard plastic protection would expect premium product algotether presentation feels appley expecting really good thingtaking wrapper case similar size shape design airpod case obvious inspiration little disappointed surprised see mic,5,Positive,2
43,Better than Apple Airpods,better apple airpods,Amazing sound.Solid buildLook greatBattery seems to last forever.Better than my AirPods and a fraction of the price,amazing soundsolid buildlook greatbattery seems last foreverbetter airpods fraction price,5,Positive,2
44,Excellent ear buds and excellent customer service from Tozo,excellent ear buds excellent customer service tozo,"I recently sent in a review , after one of my earbuds failed to have any sound, and after contacting Tozo via email, I was told I would they would send me a new set. Tozo followed through and my new earbuds have recently arrived, ( see picture). I was impressed with just one earbud working, but having two is totally amazing. Small enough to fit and stay in my tiny ears, as I have tried many different types of earbuds, and earphones and found they were either too large and uncomfortable or they kept falling out. The sound quality is brilliant. Noise reduction is great, my family thought I was ignoring them, so shows they block out other sounds perfectly. I mainly use mine for audiobooks and meditation apps and they are comfy enough to go to sleep in. Added bonus is they are waterproof and I have used them in the shower with no problem. No connection issues with my iphone 11 and I can leave my phone in the house and go in my back garden ( which is about 10 meters and not loose any signal",recently sent review one earbuds failed sound contacting tozo via email told would would send new set tozo followed new earbuds recently arrived see picture impressed one earbud working two totally amazing small enough fit stay tiny ears tried many different types earbuds earphones found either large uncomfortable kept falling sound quality brilliant noise reduction great family thought ignoring shows block sounds perfectly mainly use mine audiobooks meditation apps comfy enough go sleep added bonus waterproof used shower problem connection issues iphone eleven leave phone house go back garden ten meters loose signal,5,Positive,2
45,Good overall reproduction. Awkward to remove bud from charger if you have big fingers. Good value.,good overall reproduction awkward remove bud charger big fingers good value,"Decided to try these relatively cheap ones after reading one magazine review.Generally good. Arrived charged up so I was able to play with them straight out of the box.Small, neat storage/charger box, but this has the disadvantage that I find it awkward to remove the earbud from the box. The magnet is quite strong and the tapered design means you can't grip it easily with man sized fingers.The selection of ear inserts is generous. They do loosen off with use, so a slightly larger one to start may be best.As with many of this type, it's not good to press the bud into your ear with one finger, as this triggers the function button.The function button doesn't respond well to a quick tap, it needs a relatively long (but not hard) press to activate, with about a second between presses to go to the next function. It's easy to get used to though.Sound is a little ""thin"" but not bright or tinny. Not a huge amount of bass but fully acceptable to me.Volume is good.Connects quickly to the phone as",decided try relatively cheap ones reading one magazine reviewgenerally good arrived charged able play straight boxsmall neat storagecharger box disadvantage find awkward remove earbud box magnet quite strong tapered design means cannot grip easily man sized fingersthe selection ear inserts generous loosen use slightly larger one start may bestas many type good press bud ear one finger triggers function buttonthe function button respond well quick tap needs relatively long hard press activate second presses go next function easy get used thoughsound little thin bright tinny huge amount bass fully acceptable mevolume goodconnects quickly phone,4,Positive,2
46,cheap but works percfectly,cheap works percfectly,all very good for what I needed!,good needed,4,Positive,2
