,Clean Title,Clean Content,Rating,Sentiment,Target
44,excellent ear buds excellent customer service tozo,recently sent review one earbuds failed sound contacting tozo via email told would would send new set tozo followed new earbuds recently arrived see picture impressed one earbud working two totally amazing small enough fit stay tiny ears tried many different types earbuds earphones found either large uncomfortable kept falling sound quality brilliant noise reduction great family thought ignoring shows block sounds perfectly mainly use mine audiobooks meditation apps comfy enough go sleep added bonus waterproof used shower problem connection issues iphone eleven leave phone house go back garden ten meters loose signal,5,Positive,2
45,good overall reproduction awkward remove bud charger big fingers good value,decided try relatively cheap ones reading one magazine reviewgenerally good arrived charged able play straight boxsmall neat storagecharger box disadvantage find awkward remove earbud box magnet quite strong tapered design means cannot grip easily man sized fingersthe selection ear inserts generous loosen use slightly larger one start may bestas many type good press bud ear one finger triggers function buttonthe function button respond well quick tap needs relatively long hard press activate second presses go next function easy get used thoughsound little thin bright tinny huge amount bass fully acceptable mevolume goodconnects quickly phone,4,Positive,2
46,cheap works percfectly,good needed,4,Positive,2
47,good value waterproof bluetooth earbuds nice features,used different lowend midrange bluetooth earbuds something compare impressionsconvenience charging case compact comfortably shaped slim enough keep jeans pocket full time without uncomfortable ipx8 waterproofness really handy want use shower bath tested waterproofness earbuds using showercharging ability charge charging case wirelessly using qi charging pad good reduce number usb cables need carry especially found could even charge case wirelessly samsung phone though work phone samsungs wireless powershare supportcomfort use found best fitting silicone tips size smaller ones tried first comfortable earbuds tried stick much,5,Positive,2
48,speak,quite good apple far far cheaper,4,Positive,2
49,fast charging time,sound quality volume good,3,Neutral,1
50,easy use comfortable good value,saw ordered black ones arrived time next day packaging small well thought found ear plugs laid opening station case spare earplugs separate container underneath lead charging came charged ready go put ear plugs case automatically paired instructions easy follow paired iphone eleven quickly easy control volume pause changing tracks easy use small fingers plugs seem sit nicely ear large fingers cannot see issue using functionality plug sound quality money bad noise cancelling got cannot comment length charge comfort wearing buds long time periods impressed,4,Positive,2
51,amazing,year nnot problemsbattery life lasts agesperfect alternative expensive earphones,4,Positive,2
52,tozo t6 waterproof wireless earbuds superb,tozo t6 waterproof wireless earbud set easily best tried paired straight box iphone eight played beautifully itunes recordsonce found right rubber covers ears problem treadmill running found problem keeping watch catchup tv phone sound quality absorbed programme away strenuous regime thanks tozoprice great glad go anything less disappointed sweaty face hands affect operation performance buds stay put fingers slip handing calls reversing forwarding tracks love little voice telling done know pressed wrongmy niggle sometimes touching pause function slight delay music stops meant touched starting play course couple goes got th,4,Positive,2
53,resilient great,still going strong year half constant use went wash still work amazing battery life cannot fault,5,Positive,2
54,great quality product price point,presentation ear buds something would leave tim cook sweaty breathing heavilythey come nicely packaged three additional sets rubber insert thingies microusb cable smart packagingthey feel robust high quality cheap plastic feel headphones owned charging case convenient size easy open closes satisfying click ear buds also slip magnetised housing nicely battery indicators outside case welcome wireless charging capability us lazy simple plug inpairing easy placed mine charging box removed popped phonei tried couple different sized rubber thingies find right fit shake head aggressively one without ear buds moving feel like going fall despite lack overear support foresee,5,Positive,2
55,fantastic value money,money headphones best purchase ever made sound quality going best audio quality price amazingly good touch controls little tricky get used still nice feature passive noise cancellation also surprisingly goodthe headphones easy use easy pair whilst audiophiles may appreciate audio quality think people perfectly happy especially price point value money amazingthey charge wirelessly different tip sizes choose earbuds never fallen earsmost important customer service contacted support team issue incredibly helpful replied quickly accommodating customer service teams seem ignore daysgiven budget price headphones would done recommend,5,Positive,2
56,ok,right bud keeps falling ear fine far,4,Positive,2
57,amazing value,got pink ones lush packaging come smart would make great present someone love fact waterproof come nice selection ear buds make sure fit quite bassheavy mind overall pleased box nice design holds ear buds well lights indicate charge level xx,4,Positive,2
58,correct fitting makes difference,purchased tozo t6 earbuds jan two thousand and twenty-two love comfy sound great tendency earbuds push hope best started found uncomfortable fell easily actually reading instructions playing minutes getting oriented properly makes massive differencethe trick orient rubber earpiece microphone hole front head slide bud horizontally gentle push fits beautifully well head least look mirror looks like got small ebony pyramid growing ear got wronga second tip open music app youtube got handling register button presses ready go youtube annoying moves next unrelated video carefulin may right earpiece stopped working past,5,Positive,2
59,love maybe much,"used long enough talk battery life update soon delivery exceptional ordered shortly midnight pods hands one thousand, three hundred and thirty approximately 14hrs delivery time unbelievablethey come already charged degree decided fully charge testing hour later case four lights lit systems go instructions easy read understand truth everything automatic instructions almost redundant far getting started concerned pull pods casethey came pulled phone checked available devices t6 already clicked t6 accepted device immediately started functioning speakerssound quality good paid past got less particularly fussy sound quality available volume check quite high sound enou",5,Positive,2
60,great earbuds fraction price apple airpods pro,usually write reviews spent ages reading reviews earbuds thought would return favourthe main things looking purchasing earbuds comfortablity fit selection buds sturdiness would fall soon start exercising battery lifeadmittedly done full hardcore runexercise yet update review docomfortablity fit big hestitate ordering ear buds one reasons purchased apple airpods must say get selection six different pairs buds likely get even better fit apple something advertise would purchased sooner ironically enough 6th choice buds came already headphones fit perfectly try others yet great backupsoptionsconnectivity connecting phone took three seconds really simple took,5,Positive,2
61,great budget earbuds,debating time whether invest true wireless earbuds want spend apple prices first pairafter looking around many different options available opted tozo t6 decision based reviews price twenty-five figured would major financial loss like get themthe earbuds arrived earlier expected first impressions smart outer packaging charging case smart compact earbuds quick easy connect iphone fitted securely ears feel like fall outfor price sound quality exceptionally good clear vocals decent base midtones easily compare wired branded earphones loss connection feel comfortable running little background noise would say completely noise cancellin,5,Positive,2
62,charging issues,earpieces comfortable issues sound quality would love issue charging cable inserts charger box poor bought first pair six months ago two months unit stopped charging cable stopped working complained promptly received complete set new headphones charging box cabletoday thing happened initially charger light comes cuts wriggle cable lights soon release pressure cable cuts think time cut losses different brand,3,Neutral,1
63,amazing good phone calls meetings,love headphones however read review insightlove bass however mean volume top level would say good quality headphones however increasing volume get bassvery easy wear comfortableif want train perfecthowever looking headphones use call meeting walk park talk phone one headphones literally record noise around voice whenever phone person would hear everything horrible even recorded phone call noise loud possible talk phone bit windy since speaker person lateral hurt ears sure case come cannot control noise back would say price highfor use listening podcasts music,4,Positive,2
64,convenience vs great implementation,really sure rate offer convenience wireless issues people need know aboutsound qualityupdate see belowthe sound quality passable many people disagree understand sound separation great bass forward enough mids great either everyone sounds like opposite lisp letter letter annoyingly prominentthe wired betron bs10 better bass mids general sound separationthe ergonomicsthey easy handle inevitably press touch sensitive surface activate something adjusting taking storethey however comfortable earphones ever even realise use reduce noise environment want quietin black however look like two chunky scarabs ear big aestheticallyfunctionalitythe touch,3,Neutral,1
65,great earphones,great earphones sound good comfy wear pink colour great,5,Positive,2
66,good ear buds,good sound quality overall t6 budsnot tested mic calls unsure quality background noise windthe buds easy paircharged quickly micro usb charger usb c charger,5,Positive,2
67,great quality price,gave headphones four stars long yetsince purchase used every day impressed quality battery life far frankly much superior previous apple wireless headphonesvolume control bit tricky really need itwould definitely recommend,4,Positive,2
68,midbudget runners,reasonably good sounds keep still find best ear seal still work way dry ear,4,Positive,2
69,works pretty good,expecting much right cannot compare anything else first one sound quality good features bit expensive first purchased think good,5,Positive,2
70,brilliant especially bass lovers,excellent value money first thing notice premium packaging intitial impression quality product headphones well secured cutout foam charging caseit essential spend time trying different eartips achieving comfortable snug seal helps buds stay place achieves sound clarity especially lower frequencies reason tozo changed eartips much softeryou use one time stereo audio mixed monophone calls played budsmy initial thoughts little bass heavy use liking especially price point sound clear stereo separation fantastictozo implemented controls really well one tap play two taps skip hold change volumethe charging case nice compact get nineteen hours playback including charg,5,Positive,2
71,great product even better price,wanted bit time test properly reviewing six months later goes wanted good quality set wireless waterproof earphones running want pay rip cost apple bose etc read reviews chose definitely live expectation fast delivery good quality packaging purchased black headphones look feel great quality cost worked straight box 18month warranty sticker included sound quality great like quite heavy music rock metal etc well rap rb drum bass tested wide variety music genres also films impressed quality comparison bigger brands used bass right sounds seem crisp clear volume sufficient unless really want wreck eardrums love wireless charging feature fast headphones held good 4hrs continuous char,5,Positive,2
72,neat,bought replace ipods way used properly yet ita neat package though earbuds bit less comfortable apple items sure get used niggle instructions bit vague controls work trial error,4,Positive,2
73,get right piece ear bass hits hard good sound,using samsung galaxy watch music player stored music instead phone bluetooth earphones know easy put watch music player changed audio bluetooth pulled earphones case automatically pairedlistening fifty cent song baltimore love thing bass damn good muddy terrible hits lows hard rightthey kind look like baby pacifiers ears though know ever since saw casey neistat video youtube bt earphone things like cannot unsee noise cancellation good going try using runs instead cable ipod started running already damaged knee work heals give go thatit touch controls kind annoying weird ears takes get right constantly pausing music somehow rewind start also tha,5,Positive,2
74,everything need good design great price good quality sound perfect fit exercise,searching ages bluetooth earphones waterproofsweatproof good sound quality similar airpods design without apple price well look tick boxesthey look great much expensive charging case perfect works well keep charged led lights front indicate much charge left terms headphone design worried would fall time especially wanted use running different size ear pieces found perfect fit far budged takes little bit getting used used similar inear headphones fit well comfortable wear prolonged amount time make sure place twist secure fit sound really good quality good bass good cancelling background noise touch,5,Positive,2
75,kept falling ear,kept falling ears walking touching earpiece kept pausing music altering sound really annoying keep touching earpiece keep falling ear sound lacked bass made music really tinny,2,Negative,0
76,stunning money,truly excellent earbuds got cheap replacement honestly blown away sound quality especially much cost would easily mistake pair airpodsfantastic,5,Positive,2
77,buy something else seriously,"ok seem ok face value quite bulky part sticks ear three thousand, nine hundred and ninety-nine live thati use road riding cycling want invest expensive pair worried might fall high speeds wind stayed solid goodhowever put hammer clench jaw climb example movement jaw caused left one fall thirty-five miles due poor fitnext three times indoors turbo trainer fell separate times light usei use smallest buds ear canals small find uncomfortable nightmare seat correctly couple hours bike find got blister like sore inside ear bud sitsi aware could ear headphones one hundred and fifty let us say sneats dr stay fine pain died",3,Neutral,1
78,extremely impressed,point comparing apple products products brilliant price especially thirty probably best wireless earbuds buy even better expensive ones bought wife hearing disabled one ear eighty-two one fifty-five imagine thoughts earbuds charging use one hour heaven tears eyes hear songs sharp clear volume maximum tweaks phone said relieved search finally ended testimony amazing finally hear songs clear fact stay perfect cover whole ear brilliant like noise canceling thing songs sharp clear bass bit low good condition speaking phone hear clearly person love,5,Positive,2
79,love colour,sit comfortably ear sound quality good,4,Positive,2
80,perfect,one bud stopped working bought two others tried three different ones total find earphones best better jbl anker high expectations controls confusing earphones perfect far snug hidden fits well fall easy control,5,Positive,2
81,fall ear easily,want complain much cheap get pay formy main issue fall ear easily way could go jog run themother happy would purchase due said,3,Neutral,1
82,highly recommended quality premium headset,looking purchase apple airpods however could justify high end price crazy research decided purchase tozo t6 due great reviews also tozo accessories brillant qualitywhen parcel arrived quickly opened packaging wow first impressions really good everything inside box compartment unlike branded headsets reviews read headsets charging cable etc dumped boxthe charging case feel really nice smooth finish weight personally like feels like holding something hand led lights visible bright know chargethe headsets look brillant much smaller images cool open case went iphone bluetooth settings paired straight away hassle used forty-five hours really good battery lifethe quality headsets,5,Positive,2
83,loved much bought 2nd pair,earbuds usei gifted pink pair years ago use time earbuds held several holidays international trips days weathers hundreds hours use sorts listening music live sports events beyond comfy something struggle ears small smallest included tips excellent fit 2nd smallest tips also fit rarity among earbud tipsrecently purchased 2nd pair green gorgeous gorgeous colour high quality pink pair,5,Positive,2
84,sound quality blew away,well say hype true packaging build quality greatbut sound quality definitely something expect heck compared one hundred and fifty massdrop limited sale sennheiser hd 58x open back one hundred and fifty ohms obviously way less portable friendly tozo t6 expensive fact would even say tozo t6 nearing competitive levels headphones saying lot thing apparent bass heavy standard headphones clarity definitely case muddy bass drowning lyrics treble would say six thousand and eighty based genres eq fact even close says lotoh course test waterproofness twenty minute shower surely survived everything intact although learned quickly ears wet makes slippery cannot even wear also water interfer,5,Positive,2
85,great sound,using walking dog gym really impressed money,4,Positive,2
86,great budsgreat price,ok simple review factshave tried expensive modelsand budget onesbought whim tryand small amount adjustment toning deep bass little wavelet app equaliserfrom playstore realised buds surpass others triedi know sound subjective going finally found set excites ears beyond beliefand certainly use cliche sounds like band directly front youi never heard sound clean bites clear punchy vocals hithonestlythey goodand believe reviews amazon genuineif listen genres like prog rockrockpop classical etc get themfind tips fit youand perhaps even try others like favourites wired beyer soulbyrds enhance sound even morethis review genuineand comes someone given headaches two year search right budsi,5,Positive,2
87,great price,excellent sound value money,5,Positive,2
88,best pair budget headphones buy,serious techie past sweet tooth things cutting edge av matured learned live without latest gadget favouring need based approach let us face lot technology nice must havei like people saw appeal allure apple airpods apple way marketing products create appearance quality therefore sceptical finding comparable earbuds reasonable priceoh surprised read reviews hopeful picked decent pairi got lucky earphones really top notch sound quality stunning full stop fit would way come loose suspect even high intensity use fitted correct rubber buds inserted fully ear without going previous reviews state lose lot quality offeri found using tube music get phones,5,Positive,2
89,good value,overall earbuds good value cost bass little heavy even fan dance music highs little tinny fraction price mainstream earbuds airpods whose sound quality nothing write home bargain sensitivity buds find hard readjust ear without accidentally pressing initiating next previous track packaging slick apple esque buds case similarly well made nice hold charging ultra fast used heavily tell fast battery runs done full rigorous workout initially feel would stay put found dislodge despite jumping jacks themoverall fussy top tier sound quality want pair wireless earbuds whilst running errandsgaming extre,4,Positive,2
90,clear sound comfortable fit,bought husband bought pair let guinea pig although famous brand perfect feel really comfortable even wearing long time really like come different buds try get right fit bluetooth pairing worked immediately issues communicating either huawei phone ipad although husband couple teething issues connection iphone dropped sorted couple uses sound crystal clear whether use one earbud two yet used phone call unfortunately cannot comment build case little plastickyfeeling strong enough charges earbuds quickly get surprising amount playback time fully charged toofinally might relevant pretty colour,4,Positive,2
91,great waterproof earbuds,receipt must say price quality feel connected samsung phone without problemsthe sound excellent watched online review said loud preferred t10s louder know reviewers ears like set around third volume plenty loud enoughthe case quality magnets hold buds place buds lights turn red charged negative buds little fiddle remove due magnets buds shiny surfacethe sound good audio freak play music sounds good happy dothe touch controls easy responsive left right one press play pause two presses left earbuds play previous two presses right earbuds play next press hold left volume press hold right volume likewi,5,Positive,2
92,amazing,went threw lost washed apple ear pods decided buy cheap set amazon honestly cannot believe good price really good noise taps ear pods work perfectly every time love,5,Positive,2
93,astonishingly good bass tiny buds,hard believe tiny buds produce bass sounds fact rather weird full size speakers woofers would feeling pressure sounds chest experience magnificent sounds head believe try playing derp bassjackers makj experience deep bass goes incredible low price point tooi bought use hot tub waterproof inserted well ear would cancel much noise tub using anything else add convenience wireless charging automatic pairing ability use one bud time mono listening audio books instance charging need never run battery highly recommendedupdate accidentally left pod trouser pocket went complete hot wash dry cycle feari,5,Positive,2
94,brilliant earphones,pros nice packaging lot different sized tips included case nicely sized fits comfortably even small pockets without protruding like sore thumb good comfortable fit earphones good balance sound quality enough bass hear drops overpowering clear high end without excessive boost earphones drop case guaranteed connection easily taken hinge smooth almost like fidget toy almost latency watch netflix without noticeable delay battery life good controls easy operate engage accidentally adjusting holdtochangevolume brilliant running pretty solid connection far loud output usually keep phone volume around sixty headphones keep around twenty volumecons case charge leds difficult make direct sunlight indication charging progress earphones except red led,5,Positive,2
95,overall good purchase reservations,overall good product fantastic audio quality build however concerns1 taking earbuds casing challenging top earbuds one would use hold pull earbuds smooth slippery makes harder grip ideally top bit angled edges make gripping easier2 batter life great promoted roughly lasts around three hours continuous play3 times one earbud used earbud certain angle location audio breaks probably due interferenceoverall good product however pebble stone shape could improved better grip holding taking earbuds casingthe touch system earbuds quite sensitive results unintentional playback interruption would say fault vendor would probably wanted make smoother touch experience,4,Positive,2
96,comfy great sound cost effective,debating getting wireless ear tozo offering experience products brilliant gave go glad kit neatly packaged comes three sizes ear piece left ones installed seem fit best find one biggest pros purchasing earbuds one size fits fruit based manufacturer priced ear buds would well remember second decent pro shape fit nothing hanging outside ear really comfortable fit third pro price vs sound quality price expect sound average good bass level high end tried varying types music get decent sample size great across genres price cannot go wrong fourth pro easy operate instructions come product clear easy follow,5,Positive,2
97,great performance nice stable fit superb value,really like earbuds would sum great performance nice stable fit superb valuei ordered returned ten different earbud models vendors cheaper expensive found t6s tozo finally satisfied used laptop mobile used work phone video calls two runs using one got caught rainthe sound quality great good base heavy like colleagues reported could hear well mic difference compared traditional wired headset key comfort stability fit main reason sent back others tried either hurt ears time would fall exercised ran however neither problems tozo t6s found smallest four sets earbuds provided best fit four choose,5,Positive,2
98,amazing,using months say amazing surprised sound quality extremely good price durability earpods surprised used whilst exercising used daily charge lasts long time usage say lasted longer larger branded earpods used comes different ear cushions choose earpods falling ears eitherthe bluetooth connectivity practically instant issues setting also issue changing one ear going one earpods bluetooth automatically adjusts set connectivity click button device well worth buy would surprised disappointed since perfect,5,Positive,2
99,lifechanging,confirm outset earphones day oh goodness cannot believe using timei fed wires earphones tugged toddler getting tangled clothesarmseverything decided try wireless earphones overwhelmed many market needed reliable waterproof earphones also mic looked good much research came across t6s cautious buying manufactured one big well known brands reviewed various tech websites could however ignore overwhelmingly positive feedback amazon far found reviews accurate t6s look fantastic super easy set sound quality excellent easy operate charging case adorable small enough transport around,5,Positive,2
